date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:25	4885/4885	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:24%20GMT	https://www.britishmuseum.org/learn	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/learn.1e.delayed	(from https://www.britishmuseum.org/)
14:26:25	4930/4930	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:24%20GMT	https://www.britishmuseum.org/learn/schools	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/learn/schools.1f.delayed	(from https://www.britishmuseum.org/)
14:26:25	4942/4942	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:25%20GMT	https://www.britishmuseum.org/learn/communities	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/learn/communities.20.delayed	(from https://www.britishmuseum.org/)
14:26:26	4951/4951	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:25%20GMT	https://www.britishmuseum.org/learn/adult-learning	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/learn/adult-learning.21.delayed	(from https://www.britishmuseum.org/)
14:26:27	4945/4945	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:26%20GMT	https://www.britishmuseum.org/learn/young-people	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/learn/young-people.22.delayed	(from https://www.britishmuseum.org/)
14:26:27	4900/4900	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:26%20GMT	https://www.britishmuseum.org/membership	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/membership.23.delayed	(from https://www.britishmuseum.org/)
14:26:27	5132/5132	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:27%20GMT	https://www.britishmuseum.org/exhibitions-events?whats_on_event_type=Members%27%20exclusive	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/exhibitions-events.24a43f.delayed	(from https://www.britishmuseum.org/)
14:26:28	4963/4963	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:27%20GMT	https://www.britishmuseum.org/membership/young-friends	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/membership/young-friends.25.delayed	(from https://www.britishmuseum.org/)
14:26:28	4993/4993	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:28%20GMT	https://www.britishmuseum.org/membership/existing-members	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/membership/existing-members.26.delayed	(from https://www.britishmuseum.org/)
14:26:29	5005/5005	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:28%20GMT	https://www.britishmuseum.org/membership/visiting-as-a-member	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/membership/visiting-as-a-member.27.delayed	(from https://www.britishmuseum.org/)
14:26:29	4900/4900	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:28%20GMT	https://www.britishmuseum.org/support-us	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us.28.delayed	(from https://www.britishmuseum.org/)
14:26:30	4942/4942	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:29%20GMT	https://www.britishmuseum.org/support-us/donate	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/donate.29.delayed	(from https://www.britishmuseum.org/)
14:26:30	4996/4996	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:29%20GMT	https://www.britishmuseum.org/support-us/corporate-support	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/corporate-support.2a.delayed	(from https://www.britishmuseum.org/)
14:26:32	4945/4945	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2025%20Mar%202026%2011:26:30%20GMT	https://www.britishmuseum.org/support-us/patrons	C:/Users/safakh/Desktop/butik/www.britishmuseum.org/support-us/patrons.2b.delayed	(from https://www.britishmuseum.org/)
